Date,Open,High,Low,Close,Adj Close,Volume
2008-03-31,6197.759766,6306.560059,6169.600098,6208.000000,6208.000000,11201
2008-04-01,6112.000000,6169.600098,5920.000000,5949.439941,5949.439941,11361
2008-04-02,5900.799805,6150.399902,5806.080078,6077.439941,6077.439941,8120
2008-04-03,5991.680176,6054.399902,5789.439941,5813.759766,5813.759766,11518
2008-04-04,5868.799805,5876.479980,5751.040039,5765.120117,5765.120117,6556
2008-04-07,5920.000000,6072.319824,5913.600098,5984.000000,5984.000000,8095
2008-04-08,6076.160156,6144.000000,5949.439941,6007.040039,6007.040039,6841
2008-04-09,6178.560059,6277.120117,6156.799805,6243.839844,6243.839844,10566
2008-04-10,6319.359863,6375.680176,6176.000000,6201.600098,6201.600098,10937
2008-04-11,6164.479980,6192.640137,6073.600098,6131.200195,6131.200195,5373
2008-04-14,6140.160156,6237.439941,6072.319824,6225.919922,6225.919922,5659
2008-04-15,6329.600098,6344.959961,6284.799805,6329.600098,6329.600098,9025
2008-04-16,6323.200195,6481.919922,6227.200195,6457.600098,6457.600098,11068
2008-04-17,6429.439941,6517.759766,6391.040039,6414.080078,6414.080078,5516
2008-04-18,6393.600098,6603.520020,6338.560059,6603.520020,6603.520020,8231
2008-04-21,6561.279785,6670.080078,6516.479980,6643.200195,6643.200195,8845
2008-04-22,6631.680176,6684.160156,6557.439941,6566.399902,6566.399902,11666
2008-04-23,6506.240234,6744.319824,6478.080078,6735.359863,6735.359863,7702
2008-04-24,6648.319824,6803.200195,6583.040039,6694.399902,6694.399902,17299
2008-04-25,6758.399902,6835.200195,6750.720215,6805.759766,6805.759766,4398
2008-04-28,6901.759766,7047.680176,6863.359863,6910.720215,6910.720215,6145
2008-04-29,6784.000000,6823.680176,6593.279785,6593.279785,6593.279785,10352
2008-04-30,6668.799805,6698.240234,6535.680176,6689.279785,6689.279785,9012
2008-05-01,6589.439941,6607.359863,6336.000000,6475.520020,6475.520020,11365
2008-05-02,6446.080078,6617.600098,6444.799805,6585.600098,6585.600098,6390
2008-05-05,6722.560059,6877.439941,6707.200195,6868.479980,6868.479980,6759
2008-05-06,6901.759766,6963.200195,6784.000000,6784.000000,6784.000000,6362
2008-05-07,6836.479980,6978.560059,6784.000000,6944.000000,6944.000000,10323
2008-05-08,6972.160156,7040.000000,6854.399902,6923.520020,6923.520020,12972
2008-05-09,7015.680176,7123.200195,6946.560059,7123.200195,7123.200195,11902
2008-05-12,7036.160156,7110.399902,6897.919922,6909.439941,6909.439941,7722
2008-05-13,6895.359863,7142.399902,6883.839844,6999.040039,6999.040039,11258
2008-05-14,7169.279785,7183.359863,7074.560059,7074.560059,7074.560059,9931
2008-05-15,7151.359863,7182.080078,6837.759766,6988.799805,6988.799805,16781
2008-05-16,7066.879883,7084.799805,6784.000000,6816.000000,6816.000000,16913
2008-05-19,6831.359863,6913.279785,6662.399902,6708.479980,6708.479980,11645
2008-05-20,6848.000000,7027.200195,6816.000000,7006.720215,7006.720215,15505
2008-05-21,7014.399902,7180.799805,6965.759766,7179.520020,7179.520020,19885
2008-05-22,7123.200195,7253.759766,6997.759766,7136.000000,7136.000000,18667
2008-05-23,7235.839844,7281.919922,7123.200195,7219.200195,7219.200195,13165
2008-05-27,7281.919922,7347.200195,7136.000000,7136.000000,7136.000000,13905
2008-05-28,7171.839844,7320.319824,7153.919922,7279.359863,7279.359863,7289
2008-05-29,7157.759766,7266.560059,6914.560059,6932.479980,6932.479980,20327
2008-05-30,7032.319824,7121.919922,7000.319824,7120.640137,7120.640137,8114
2008-06-02,7208.959961,7377.919922,7168.000000,7257.600098,7257.600098,14420
2008-06-03,7436.799805,7479.040039,7360.000000,7411.200195,7411.200195,13644
2008-06-04,7352.319824,7543.040039,7334.399902,7520.000000,7520.000000,16612
2008-06-05,7555.839844,7581.439941,7443.200195,7575.040039,7575.040039,14074
2008-06-06,7733.759766,7751.680176,7641.600098,7692.799805,7692.799805,26105
2008-06-09,7621.120117,7755.520020,7590.399902,7599.359863,7599.359863,11204
2008-06-10,7640.319824,7690.240234,7485.439941,7545.600098,7545.600098,20077
2008-06-11,7641.600098,7731.200195,7632.640137,7691.520020,7691.520020,14461
2008-06-12,7598.080078,7799.040039,7591.680176,7755.520020,7755.520020,14394
2008-06-13,7631.359863,7692.799805,7610.879883,7654.399902,7654.399902,9455
2008-06-16,7813.120117,7896.319824,7765.759766,7851.520020,7851.520020,11218
2008-06-17,7872.000000,7889.919922,7769.600098,7810.560059,7810.560059,19385
2008-06-18,7918.080078,8049.919922,7900.160156,8049.919922,8049.919922,15408
2008-06-19,8064.000000,8083.200195,7655.680176,7800.319824,7800.319824,40559
2008-06-20,7937.279785,7997.439941,7866.879883,7889.919922,7889.919922,14115
2008-06-23,7932.160156,8044.799805,7923.200195,8044.799805,8044.799805,10595
2008-06-24,7898.879883,7965.439941,7820.799805,7921.919922,7921.919922,10449
2008-06-25,7770.879883,7786.240234,7659.520020,7704.319824,7704.319824,12365
2008-06-26,7697.919922,7987.200195,7584.000000,7960.319824,7960.319824,20456
2008-06-27,8021.759766,8064.000000,7921.919922,7987.200195,7987.200195,11286
2008-06-30,8060.160156,8060.160156,7936.000000,8060.160156,8060.160156,8087
2008-07-01,8152.319824,8177.919922,8076.799805,8125.439941,8125.439941,8509
2008-07-02,8110.080078,8151.040039,7932.160156,8067.839844,8067.839844,17582
2008-07-03,8028.160156,8106.240234,7998.720215,8106.240234,8106.240234,8052
2008-07-07,7896.319824,7914.240234,7667.200195,7758.080078,7758.080078,21361
2008-07-08,7544.319824,7578.879883,7381.759766,7393.279785,7393.279785,35751
2008-07-09,7386.879883,7502.080078,7150.080078,7169.279785,7169.279785,37768
2008-07-10,7298.560059,7476.479980,7151.359863,7458.560059,7458.560059,28509
2008-07-11,7496.959961,7526.399902,7102.720215,7123.200195,7123.200195,32040
2008-07-14,7165.439941,7293.439941,7120.640137,7156.479980,7156.479980,22399
2008-07-15,7238.399902,7257.600098,6836.479980,6886.399902,6886.399902,29458
2008-07-16,6817.279785,6880.000000,6679.040039,6880.000000,6880.000000,19498
2008-07-17,6799.359863,6845.439941,6286.080078,6397.439941,6397.439941,48783
2008-07-18,6346.240234,6481.919922,6314.240234,6425.600098,6425.600098,23242
2008-07-21,6330.879883,6373.120117,6209.279785,6373.120117,6373.120117,30305
2008-07-22,6088.959961,6142.720215,5946.879883,6073.600098,6073.600098,48988
2008-07-23,6028.799805,6197.759766,5803.520020,5848.319824,5848.319824,50230
2008-07-24,5857.279785,5868.799805,5337.600098,5533.439941,5533.439941,139238
2008-07-25,5614.080078,5661.439941,5388.799805,5427.200195,5427.200195,48878
2008-07-28,5515.520020,5536.000000,5433.600098,5466.879883,5466.879883,47851
2008-07-29,5433.600098,5530.879883,5344.000000,5443.839844,5443.839844,54159
2008-07-30,5355.520020,5579.520020,5254.399902,5553.919922,5553.919922,81842
2008-07-31,5482.240234,5584.640137,5401.600098,5452.799805,5452.799805,64409
2008-08-01,5410.560059,5646.080078,5408.000000,5607.680176,5607.680176,47731
2008-08-04,5424.640137,5445.120117,5146.879883,5187.839844,5187.839844,63820
2008-08-05,5132.799805,5350.399902,5113.600098,5182.720215,5182.720215,63726
2008-08-06,5191.680176,5355.520020,5146.879883,5256.959961,5256.959961,42353
2008-08-07,5281.279785,5424.640137,5071.359863,5122.560059,5122.560059,56213
2008-08-08,5052.160156,5071.359863,4887.040039,4965.120117,4965.120117,65082
2008-08-11,4985.600098,5064.959961,4872.959961,5026.560059,5026.560059,38396
2008-08-12,5022.720215,5049.600098,4921.600098,4997.120117,4997.120117,43722
2008-08-13,4912.640137,5213.439941,4808.959961,5079.040039,5079.040039,82005
2008-08-14,5049.600098,5108.479980,4736.000000,4857.600098,4857.600098,90475
2008-08-15,4828.160156,4913.919922,4750.080078,4835.839844,4835.839844,63556
2008-08-18,4753.919922,4816.640137,4651.520020,4688.640137,4688.640137,77841
2008-08-19,4728.319824,4866.560059,4695.040039,4780.799805,4780.799805,72021
2008-08-20,4839.680176,4866.560059,4733.439941,4860.160156,4860.160156,57226
2008-08-21,4885.759766,5009.919922,4805.120117,4972.799805,4972.799805,96429
2008-08-22,4894.720215,4915.200195,4654.080078,4684.799805,4684.799805,59795
2008-08-25,4628.479980,4704.000000,4565.759766,4682.240234,4682.240234,81848
2008-08-26,4956.160156,5006.080078,4906.240234,4929.279785,4929.279785,94580
2008-08-27,5199.359863,5208.319824,4980.479980,5059.839844,5059.839844,108250
2008-08-28,5104.640137,5109.759766,4567.040039,4743.680176,4743.680176,243135
2008-08-29,4876.799805,4910.080078,4680.959961,4705.279785,4705.279785,84782
